Integrator Name,Logo,Location,Website,Categories,Supported Protocols,Industries Served,Certification Level,AI_Industries_Gen,Category_Audit,Categories + Category_Audit Combined,Slug,AI_Description,Top 100 Integrator
RRC Power & Energy,,"Round Rock, Texas",https://rrccompanies.com/,"Systems Integration,Alarm Management,SCADA Security","OPC UA,Modbus TCP,MQTT,DNP3","Energy & Utilities,Oil & Gas,Data Centers,Transportation",Gold Integrator,"Energy & Utilities,Oil & Gas,Data Centers,Transportation","Alarm Management,SCADA Security,Systems Integration","Systems Integration, Alarm Management, SCADA Security, Alarm Management, SCADA Security, Systems Integration",,"RRC Power & Energy is a Round Rock, Texas-based integrator specializing in utility-scale renewable energy and energy storage projects. They provide multidisciplinary engineering and surveying services, with a focus on supporting large-scale solar, wind, and battery storage developments across North America.",
"Pigler Automation, LLC",,"Louisville, CO, United States",http://www.piglerautomation.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Siemens S7,PROFINET","Water/Wastewater,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Manufacturing,General Automation","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,Cloud / IIoT","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, Cloud / IIoT",,"Pigler Automation, LLC is a Louisville, Colorado-based integrator specializing in hydropower and biopharma industries. They provide SCADA and PLC/control system integration services, with a focus on Siemens, Ignition, and Beckhoff platform expertise for complex automation projects.",Top 100
Edge Controls LLC,,"Midland, TX, United States",http://edgecontrols.com/,"Cloud / IIoT,Systems Integration","OPC UA,Modbus TCP,MQTT","Energy & Utilities,Water/Wastewater,Manufacturing,Oil & Gas",Gold Integrator,"Energy & Utilities,Water/Wastewater,Manufacturing,Oil & Gas",Systems Integration,"Cloud / IIoT, Systems Integration, Systems Integration",,"Edge Controls LLC is a Midland, Texas-based integrator specializing in industrial and oil and gas applications. They provide automation and controls engineering as well as motor and drive sales and service, with a focus on hosted SCADA solutions for remote operations.",
Automation Station,,"Mcallen, TX, United States",http://www.automationstation.net/,"MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT","General Automation,Manufacturing,Energy & Utilities,Water/Wastewater",Gold Integrator,"General Automation,Manufacturing,Energy & Utilities,Water/Wastewater",Systems Integration,"MES Systems, Systems Integration, Systems Integration",,"Automation Station is a Decatur, Arkansas-based integrator specializing in municipal water/wastewater and manufacturing industries. They provide SCADA & HMI development and machine vision systems, with a focus on delivering custom software solutions tailored to client processes.",
Automation & Electronics,,"Casper, WY, United States",https://www.autoelect.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Manufacturing,Water/Wastewater,Energy & Utilities,Food & Beverage",Gold Integrator,"Manufacturing,Water/Wastewater,Energy & Utilities,Food & Beverage",Systems Integration,"Systems Integration, Systems Integration",,"Automation & Electronics is a Casper, Wyoming-based integrator specializing in oil & gas and power generation industries. They provide control system integration and electrical contracting services, with a focus on delivering turnkey engineering solutions for complex industrial automation projects.",
Near Integration,,"Vega Baja, PR, United States",http://nearintegration.com/,"Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,Siemens S7,PROFINET","General Automation,Manufacturing,Water/Wastewater,Energy & Utilities",Gold Integrator,"General Automation,Manufacturing,Water/Wastewater,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards","Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards",,"Near Integration is a Houston, Texas-based integrator specializing in pharmaceuticals and manufacturing industries. They provide control system optimization and OSISoft PI system services, with a focus on custom wireless sensor and data integration platforms.",
"CSE Systems Integrators, Inc.",,"San Juan, PR, United States",http://www.cse-pr.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"CSE Systems Integrators, Inc. is a San Juan, Puerto Rico-based integrator specializing in life sciences and chemical industries. They provide automation and control solutions and information management services, with a focus on delivering turnkey integrated systems for manufacturing processes.",
Nereux,,"Caguas, PR, United States",http://nereux.com/,"Systems Integration,MES Systems","OPC UA,Modbus TCP,MQTT","General Automation,Manufacturing,Energy & Utilities,Water/Wastewater",Gold Integrator,"General Automation,Manufacturing,Energy & Utilities,Water/Wastewater","Systems Integration,MES Systems","Systems Integration, MES Systems, Systems Integration, MES Systems",,"Nereux is a Caguas, Puerto Rico-based integrator specializing in automation and manufacturing execution systems (MES). They provide automation solutions and platform integration services, with a focus on combining science, information technology, and engineering for tailored project delivery.",
Browns Hill Engineering & Controls,,"Eagle, CO, United States",http://www.brownshilleng.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Government",Systems Integration,"Systems Integration, Systems Integration",,"Browns Hill Engineering & Controls is a Littleton, Colorado-based integrator specializing in water/wastewater and municipal systems. They provide control systems integration and SCADA solutions, with a focus on comprehensive engineering and support for critical infrastructure.",
ITG Consultants LLC,,"Draper, UT, United States",http://www.itg-consultants.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","General Automation,Manufacturing,Water/Wastewater,Energy & Utilities",Gold Integrator,"General Automation,Manufacturing,Water/Wastewater,Energy & Utilities",Systems Integration,"Systems Integration, Systems Integration",,"ITG Consultants LLC is a consulting firm specializing in automation and manufacturing, based in the United States (city and state not specified on the website). They provide automation consulting and commissioning services, with a focus on helping clients keep projects on track and achieve timely deliverables.",Top 100
M8 Automation,,"Sandy, UT, United States",http://m8automation.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Manufacturing,General Automation,Energy & Utilities,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Energy & Utilities,Water/Wastewater",Systems Integration,"Systems Integration, Systems Integration",,"M8 Automation is a Sandy, Utah-based integrator specializing in water/wastewater and oil & gas industries. They provide industrial automation and detail engineering services, with a focus on integrating automation systems to maximize business efficiency.",
SPI Automation,,"Sandy, UT, United States",https://www.sysconautomation.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Water/Wastewater,Manufacturing,General Automation",Gold Integrator,"Food & Beverage,Water/Wastewater,Manufacturing,General Automation","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT",,"SPI Automation is a Sandy, Utah-based integrator specializing in food & beverage and manufacturing industries. They provide custom automation and robotics integration as well as HMI/PLC programming, with a focus on delivering turnkey solutions through in-house engineering and a UL Listed control panel shop.",
El Dorado Engineering,,"West Jordan, UT, United States",https://www.eldoradoengineering.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Government,Manufacturing,Energy & Utilities,Mining & Metals",Gold Integrator,"Government,Manufacturing,Energy & Utilities,Mining & Metals",Systems Integration,"Systems Integration, Systems Integration",,"El Dorado Engineering is a Salt Lake City, Utah-based integrator specializing in demilitarization and environmental services. They provide thermal disposal systems and pollution control solutions, with a focus on safe and effective destruction of munitions and hazardous materials.",
Dan Rapoza,,"Safford, AZ, United States",,Systems Integration,,,Gold Integrator,,,Systems Integration,,,
Idaho Controls & Automation,,"Heyburn, ID, United States",https://idahocontrols.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Idaho Controls & Automation is a Heyburn, Idaho-based integrator specializing in industrial and commercial electrical systems. They provide SCADA system integration and Variable Frequency Drive (VFD) solutions, with a focus on custom panel building and advanced programming capabilities.",
"POWER Engineers, Inc.",,"Hailey, ID, United States",http://www.powereng.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Oil & Gas,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Oil & Gas,Government",Systems Integration,"Systems Integration, Systems Integration",,"POWER Engineers, Inc. is a Hailey, Idaho-based integrator specializing in power delivery and environmental consulting. They provide engineering design and project management services, with a focus on integrated solutions for complex infrastructure projects.",
Ripple Industries,,"Mesa, AZ, United States",http://www.rippleind.com/,"Systems Integration,PLC Programming,HMI Design","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Mining & Metals,Manufacturing,Food & Beverage,Data Centers",Gold Integrator,"Water/Wastewater,Mining & Metals,Manufacturing,Food & Beverage,Data Centers","Systems Integration,PLC Programming,HMI Design","Systems Integration, PLC Programming, HMI Design, Systems Integration, PLC Programming, HMI Design",,"Ripple Industries is a Casa Grande, Arizona-based integrator specializing in water/wastewater and mining industries. They provide control systems engineering and PLC/HMI software development, with a focus on turnkey automation solutions and UL 508A panel fabrication.",
"Quantum Engineering, Inc.",,"Tempe, AZ, United States",http://www.quantumengr.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Quantum Engineering, Inc. is a Tempe, Arizona-based integrator specializing in government, municipal, and industrial sectors. They provide engineering design and systems integration services, with a focus on optimizing complex industrial control and process systems for efficiency and compliance.",
Jacobs Engineering,,"Dallas, Texas",http://www.jacobs.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Oil & Gas,Energy & Utilities,Transportation",Gold Integrator,"Water/Wastewater,Oil & Gas,Energy & Utilities,Transportation",Systems Integration,"Systems Integration, Systems Integration",,"Jacobs Engineering is a Dallas, Texas-based integrator specializing in infrastructure and environmental solutions. They provide consulting and project delivery services, with a focus on integrating digital and data-driven capabilities across diverse sectors.",
"Advanced Control Systems, LLC - ACS",,"Meridian, ID, United States",http://www.advancedcontrol.com/,"Cloud / IIoT,Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,Food & Beverage",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,Food & Beverage","Systems Integration,PLC Programming,Cloud / IIoT","Cloud / IIoT, Systems Integration, PLC Programming, Systems Integration, PLC Programming, Cloud / IIoT",,"Advanced Control Systems, LLC is a Boise, Idaho-based integrator specializing in water/wastewater and municipal infrastructure. They provide SCADA solutions and controls engineering, with a focus on cloud-hosted automation and custom control systems design.",Top 100
Woodhawk Controls,,"Coeur D Alene, ID, United States",http://www.woodhawkcontrols.com/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3","Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing",Gold Integrator,"Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Woodhawk Controls is a Coeur d’Alene, Idaho-based integrator specializing in industrial and water/wastewater systems. They provide UL-certified control panel fabrication and full systems integration, with a focus on custom design and comprehensive installation support.",
"H2E, Inc.",,"Liberty Lake, WA, United States",http://www.h2einc.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage","Systems Integration,PLC Programming,HMI Design","MES Systems, Systems Integration, PLC Programming, HMI Design, Systems Integration, PLC Programming, HMI Design",,"H2E, Inc. is a Liberty Lake, Washington-based integrator specializing in power and industrial automation industries. They provide electrical engineering and SCADA integration services, with a focus on comprehensive project support from concept development through field commissioning.",
"Concept Systems, Inc",,"Kennewick, WA, United States",https://conceptsystemsinc.com/,"Systems Integration,PLC Programming,Migration & Upgrades,MES Systems,Cloud / IIoT,Data Visualization / Dashboards,HMI Design,SCADA Security,Alarm Management","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Food & Beverage,Water/Wastewater,Manufacturing,Energy & Utilities",Gold Integrator,"Food & Beverage,Water/Wastewater,Manufacturing,Energy & Utilities","Systems Integration,PLC Programming,Migration & Upgrades,MES Systems,Cloud / IIoT,Data Visualization / Dashboards,HMI Design,SCADA Security,Alarm Management","Systems Integration, PLC Programming, Migration & Upgrades, MES Systems, Cloud / IIoT, Data Visualization / Dashboards, HMI Design, SCADA Security, Alarm Management, Systems Integration, PLC Programming, Migration & Upgrades, MES Systems, Cloud / IIoT, Data Visualization / Dashboards, HMI Design, SCADA Security, Alarm Management",,"Concept Systems, Inc. is an Albany, Oregon-based integrator specializing in manufacturing and food & beverage industries. They provide automation consulting and process control solutions, with a focus on delivering customized automation systems to address complex production challenges.",
G6 Engineering,,"Kennewick, WA, United States",http://www.g6engineering.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Water/Wastewater,Energy & Utilities",Gold Integrator,"Manufacturing,General Automation,Water/Wastewater,Energy & Utilities",Systems Integration,"Systems Integration, Systems Integration",,"G6 Engineering is a Kennewick, Washington-based integrator specializing in food & beverage and manufacturing industries. They provide industrial electrical and automation engineering services and project management, with a focus on delivering integrated solutions across the Pacific Northwest.",
"Talos Engineering, Inc.",,"Richland, WA, United States",http://www.talosengineering.com/,"Systems Integration,PLC Programming,Cloud / IIoT,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Water/Wastewater,Food & Beverage,Manufacturing",Gold Integrator,"Water/Wastewater,Food & Beverage,Manufacturing","Systems Integration,PLC Programming,Cloud / IIoT,Migration & Upgrades","Systems Integration, PLC Programming, Cloud / IIoT, Migration & Upgrades, Systems Integration, PLC Programming, Cloud / IIoT, Migration & Upgrades",,"Talos Engineering, Inc. is a Richland, Washington-based integrator specializing in water/wastewater and agriculture industries. They provide controls integration and programming as well as industrial control panel solutions, with a focus on maximizing value from automation systems for manufacturers.",
Odem Controls,,"Moses Lake, WA, United States",https://odemcontrols.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Ethernet/IP,DNP3","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Systems Integration,"Systems Integration, Systems Integration",,"Odem Controls is a Texas-based integrator specializing in food & beverage and water/wastewater industries. They provide custom automation solutions and control system retrofits, with a focus on expert remote support and on-site service to minimize operational downtime.",
"All-Phase Electric, Inc.",,"Union Gap, WA, United States",http://allphaseco.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"All-Phase Electric, Inc. is a Union Gap, Washington-based integrator specializing in commercial and agriculture industries. They provide electrical contracting and automation solutions, with a focus on integrated engineering and design services.",
TCNT LLC,,"Temecula, CA, United States",http://www.tactical-controls.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3","Oil & Gas,Water/Wastewater,Manufacturing",Gold Integrator,"Oil & Gas,Water/Wastewater,Manufacturing",Systems Integration,"Systems Integration, Systems Integration",,"Tactical Controls LLC is an Idaho-based integrator specializing in industrial automation and manufacturing. They provide control system integration and custom automation solutions, with a focus on certified Ignition SCADA implementations.",
Stellar Technology & Automation,,"Riverside, CA, United States",http://www.s-tekk.com/,"Systems Integration,PLC Programming,Cloud / IIoT,SCADA Security,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Water/Wastewater,Energy & Utilities",Gold Integrator,"Manufacturing,General Automation,Water/Wastewater,Energy & Utilities","Systems Integration,PLC Programming,Cloud / IIoT,SCADA Security,Migration & Upgrades","Systems Integration, PLC Programming, Cloud / IIoT, SCADA Security, Migration & Upgrades, Systems Integration, PLC Programming, Cloud / IIoT, SCADA Security, Migration & Upgrades",,"Stellar Technology & Automation is a Riverside, California-based integrator specializing in water/wastewater and energy industries. They provide SCADA system integration and PLC programming services, with a focus on modernizing legacy infrastructure for improved efficiency and reliability.",
CDM Constructors Inc.,,"Rancho Cucamonga, CA, United States",http://www.cdmsmith.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Government",Systems Integration,"Systems Integration, Systems Integration",,"CDM Smith is a Boston, Massachusetts-based integrator specializing in water and transportation infrastructure. They provide engineering consulting and construction services, with a focus on integrated design-build project delivery and sustainable solutions.",
Krones Process Group North America,,"Ontario, CA, United States",http://www.kronesprocessgroupna.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Food & Beverage,Water/Wastewater,Manufacturing",Gold Integrator,"Food & Beverage,Water/Wastewater,Manufacturing",Systems Integration,"Systems Integration, Systems Integration",,"Krones Process Group North America is a Franklin, Wisconsin-based integrator specializing in the beverage and food industries. They provide turnkey process solutions and customized manufacturing of processing equipment, with a focus on tailored engineering, automation, and comprehensive lifecycle support for North American clients.",
Joy Automation,,"Upland, CA, United States",http://www.joyautomation.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","General Automation,Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"General Automation,Manufacturing,Food & Beverage,Water/Wastewater",Systems Integration,"Systems Integration, Systems Integration",,"Joy Automation is an Upland, California-based integrator specializing in industrial automation and software development. They provide SCADA system integration and PLC programming, with a focus on open standards and protocols for process control solutions.",
George T Hall Company,,"Anaheim, California",http://www.georgethall.com/,"Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,SCADA Security,Cloud / IIoT,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,DNP3,BACnet","Water/Wastewater,Energy & Utilities,Manufacturing,Food & Beverage",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,Food & Beverage","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,SCADA Security,Cloud / IIoT,Data Visualization / Dashboards","Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, SCADA Security, Cloud / IIoT, Data Visualization / Dashboards, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, SCADA Security, Cloud / IIoT, Data Visualization / Dashboards",,"George T. Hall Company is an Anaheim, California-based integrator specializing in water/wastewater and pharmaceutical industries. They provide system integration and custom UL control panel manufacturing, with a focus on delivering tailored automation solutions for critical industrial applications.",
Sierra Controls,,"Reno, NV, United States",https://www.sierracontrols.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Government",Systems Integration,"Systems Integration, Systems Integration",,"Sierra Controls is a Gardnerville, Nevada-based integrator specializing in municipal water and wastewater systems. They provide SCADA system integration and equipment manufacturing, with a focus on customized automation solutions for measurement and control applications.",
Industrial Prosoft Solutions,,"Oceanside, CA, United States",http://www.i-prosoft.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,General Automation",Gold Integrator,"Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Industrial Prosoft Solutions is an Oceanside, California-based integrator specializing in manufacturing and industrial automation. They provide robotics integration and SCADA systems development, with a focus on complex software and data connectivity between production equipment and enterprise databases.",
Enterprise Automation,,"Irvine, CA, United States",https://eaintegrator.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,PROFINET,Siemens S7,DNP3,BACnet","General Automation,Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"General Automation,Manufacturing,Food & Beverage,Water/Wastewater",Systems Integration,"Systems Integration, Systems Integration",,"Enterprise Automation is an Irvine, California-based integrator specializing in water/wastewater and life sciences industries. They provide full-stack systems integration and automation consulting, with a focus on disciplined project management and proven methodologies for process-driven operations.",
One15 LLC,,"Bend, OR, United States",https://one15.io/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Data Centers",Gold Integrator,"Manufacturing,General Automation,Data Centers",Systems Integration,"Systems Integration, Systems Integration",,"One15 LLC is a Bend, Oregon-based integrator specializing in manufacturing and industrial automation. They provide MES/ERP integration and industrial networking with a focus on IT/OT network convergence and cybersecurity for manufacturing environments.",
"Cascade Integration & Development, Inc.",,"Bend, OR, United States",http://www.cid.tech/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Cascade Integration & Development, Inc. is a Bend, Oregon-based integrator specializing in utilities and manufacturing industries. They provide custom automation solutions and integrated MES services, with a focus on complex project execution and OT cybersecurity.",
Veregy,,"Costa Mesa, CA, United States",https://veregy.com/industries/manufacturing/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Energy & Utilities,Manufacturing,Government",Gold Integrator,"Energy & Utilities,Manufacturing,Government",Systems Integration,"Systems Integration, Systems Integration",,"Veregy is a Phoenix, Arizona-based integrator specializing in manufacturing and industrial energy solutions. They provide energy system optimization and renewable energy integration, with a focus on technology-agnostic decarbonization and ongoing energy management for manufacturers.",
Cogito Automation,,"Anaheim, CA, United States",http://www.cogitoautomation.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Water/Wastewater,Food & Beverage",Gold Integrator,"Manufacturing,General Automation,Water/Wastewater,Food & Beverage",Systems Integration,"Systems Integration, Systems Integration",,"Cogito Automation is an Anaheim, California-based integrator specializing in industrial automation and amusement industries. They provide control system design and panel assembly, with a focus on safety-based control systems and risk assessments by TÜV Functional Safety Engineers.",
"Control Engineering, Inc.",,"Costa Mesa, CA, United States",http://www.controlengineering.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage,Energy & Utilities",Systems Integration,"Systems Integration, Systems Integration",,"Control Engineering, Inc. is a Corona, California-based integrator specializing in industrial and manufacturing sectors. They provide process controls and automation as well as power systems analysis, with a focus on demand side management and comprehensive software solutions for plant floor operations.",
Table Flip Solutions LLC,,"Westminster, CA, United States",http://tableflipsolutions.com/,"MES Systems,Systems Integration","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Food & Beverage",Gold Integrator,"Manufacturing,General Automation,Food & Beverage",Systems Integration,"MES Systems, Systems Integration, Systems Integration",,"Table Flip Solutions LLC is a Denver, Colorado-based integrator specializing in manufacturing and industrial automation. They provide process mapping and custom system integration services, with a focus on simplifying complex operations for scalability and ease of use.",
"Soffa Electric, Inc",,"Commerce, CA, United States",http://www.soffaelectric.com/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Energy & Utilities,General Automation",Gold Integrator,"Manufacturing,Water/Wastewater,Energy & Utilities,General Automation","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Soffa Electric, Inc is a Los Angeles, California-based integrator specializing in water/wastewater treatment and utilities. They provide turnkey control systems integration and UL control panel fabrication, with a focus on comprehensive in-house engineering and factory-tested solutions.",
Dynamic Controls Inc,,"Visalia, CA, United States",http://dcontrolsinc.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Food & Beverage,Manufacturing",Gold Integrator,"Food & Beverage,Manufacturing","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"Dynamic Controls Inc is a Visalia, California-based integrator specializing in process automation and manufacturing industries. They provide control system design and SCADA/interface systems, with a focus on delivering custom solutions and certified UL508A control panels for diverse industrial applications.",
"Casne Engineering, Inc.",,"Bellevue, WA, United States",https://www.casne.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Ethernet/IP,DNP3,BACnet","Data Centers,Water/Wastewater,Manufacturing",Gold Integrator,"Data Centers,Water/Wastewater,Manufacturing",Systems Integration,"Systems Integration, Systems Integration",,"Casne Engineering, Inc. is a Bellevue, Washington-based integrator specializing in power & utilities and water/wastewater industries. They provide electrical engineering and operational technology services, with a focus on delivering integrated solutions for complex industrial control and power systems.",
IAP Engineering,,"Bakersfield, CA, United States",http://iapengineering.com/,"Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Food & Beverage,Manufacturing,Mining & Metals,General Automation",Gold Integrator,"Food & Beverage,Manufacturing,Mining & Metals,General Automation","Systems Integration,PLC Programming,Migration & Upgrades","Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, Migration & Upgrades",,"IAP Engineering is a Bakersfield, California-based integrator specializing in food processing and cement manufacturing industries. They provide control system design and process optimization services, with a focus on integrating industrial communication networks for enhanced operational efficiency.",
ATS Automation,,"Renton, WA, United States",https://atsrockymtn.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Manufacturing,General Automation,Water/Wastewater,Energy & Utilities",Gold Integrator,"Manufacturing,General Automation,Water/Wastewater,Energy & Utilities",Systems Integration,"Systems Integration, Systems Integration",,"ATS Automation is a Kent, Washington-based integrator specializing in building automation and energy management for commercial and institutional facilities. They provide building automation systems and ongoing service agreements, with a focus on custom-engineered solutions that enhance efficiency and sustainability.",
Technical Systems Inc.,,"Lynnwood, Washington",http://www.tsicontrols.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Water/Wastewater,Energy & Utilities,Manufacturing,Food & Beverage",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,Food & Beverage",Systems Integration,"Systems Integration, Systems Integration",,"Technical Systems Inc. is a Lynnwood, Washington-based integrator specializing in water/wastewater and municipal infrastructure. They provide control system integration and SCADA solutions, with a focus on comprehensive automation for public utilities.",Top 100
